arm,metric,first_step,first,last_step,last,min,max,mean,count
no_bi,generator/inter_token_latency_ms/mean,1,111.51081085205078,2,67.35155487060547,67.35155487060547,111.51081085205078,89.43118286132812,2
no_bi,generator/num_cached_tokens/max,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,generator/num_cached_tokens/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,generator/prefill_time_ms/max,1,20370.78515625,2,140.700927734375,140.700927734375,20370.78515625,10255.743041992188,2
no_bi,generator/prefill_time_ms/mean,1,20370.78515625,2,140.700927734375,140.700927734375,20370.78515625,10255.743041992188,2
no_bi,generator/queue_time_ms/max,1,0.34974515438079834,2,0.264285147190094,0.264285147190094,0.34974515438079834,0.30701515078544617,2
no_bi,generator/queue_time_ms/mean,1,0.34974515438079834,2,0.264285147190094,0.264285147190094,0.34974515438079834,0.30701515078544617,2
no_bi,generator/time_to_first_token_ms/max,1,20380.34375,2,141.6964569091797,141.6964569091797,20380.34375,10261.02010345459,2
no_bi,generator/time_to_first_token_ms/mean,1,20380.34375,2,141.6964569091797,141.6964569091797,20380.34375,10261.02010345459,2
no_bi,loss/generator_logprob_nan_frac,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,loss/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,loss/ratio_clipped_frac,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,loss/ratio_mean,1,1.0137008428573608,2,1.001796007156372,1.001796007156372,1.0137008428573608,1.0077484250068665,2
no_bi,perf/trainer/step_time_ratio/batch,1,0.47599542140960693,2,0.7312411665916443,0.47599542140960693,0.7312411665916443,0.6036182940006256,2
no_bi,perf/trainer/step_time_ratio/blocking_generator_pull_model_state_dict,1,4.522188135069882e-07,2,6.231215934349166e-07,4.522188135069882e-07,6.231215934349166e-07,5.376702034709524e-07,2
no_bi,perf/trainer/step_time_ratio/blocking_trainer_push_model_state_dict,1,3.998806619165407e-07,2,9.387129011884099e-07,3.998806619165407e-07,9.387129011884099e-07,6.692967815524753e-07,2
no_bi,perf/trainer/step_time_ratio/fwd_bwd,1,0.5239760875701904,2,0.2686924636363983,0.2686924636363983,0.5239760875701904,0.3963342756032944,2
no_bi,perf/trainer/step_time_ratio/unaccounted,1,2.7659078114083968e-05,2,6.483004108304158e-05,2.7659078114083968e-05,6.483004108304158e-05,4.624455959856277e-05,2
no_bi,perf/trainer/tokens_per_second_full_step,1,0.2843790352344513,2,0.8460200428962708,0.2843790352344513,0.8460200428962708,0.565199539065361,2
no_bi,perf/trainer/tokens_per_second_fwd_bwd,1,0.542732834815979,2,3.148655891418457,0.542732834815979,3.148655891418457,1.845694363117218,2
no_bi,rollout/branches_per_rollout/max,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,rollout/branches_per_rollout/mean,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,rollout/max_policy_version/max,1,0.0,2,1.0,0.0,1.0,0.5,2
no_bi,rollout/min_policy_version/min,1,0.0,2,1.0,0.0,1.0,0.5,2
no_bi,rollout/num_turns/max,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,rollout/num_turns/mean,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,rollout/output_tokens/max,1,13.0,2,13.0,13.0,13.0,13.0,2
no_bi,rollout/output_tokens/mean,1,13.0,2,13.0,13.0,13.0,13.0,2
no_bi,rollout/output_tokens/std,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout/prompt_length/max,1,172.0,2,203.0,172.0,203.0,187.5,2
no_bi,rollout/prompt_length/mean,1,172.0,2,203.0,172.0,203.0,187.5,2
no_bi,rollout/response_length/max,1,13.0,2,13.0,13.0,13.0,13.0,2
no_bi,rollout/response_length/mean,1,13.0,2,13.0,13.0,13.0,13.0,2
no_bi,rollout/total_length/max,1,185.0,2,216.0,185.0,216.0,200.5,2
no_bi,rollout/total_length/mean,1,185.0,2,216.0,185.0,216.0,200.5,2
no_bi,rollout/truncation_rate/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_buffer/active_slots_in_use_peak,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,rollout_buffer/available_active_slots,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_buffer/num_groups_finalized,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_buffer/num_groups_inflight,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_buffer/num_groups_waiting,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/_max,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/_mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/_min,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/_std,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/_sum,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/component/RewardMathVerify/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,rollout_reward/group_zero_std_frac/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,timing/step/blocking_generator_pull_model_state_dict/mean,1,2.0672567188739777e-05,2,9.574927389621735e-06,9.574927389621735e-06,2.0672567188739777e-05,1.5123747289180756e-05,2
no_bi,timing/step/blocking_trainer_push_model_state_dict/mean,1,1.8279999494552612e-05,2,1.4424324035644531e-05,1.4424324035644531e-05,1.8279999494552612e-05,1.6352161765098572e-05,2
no_bi,timing/step/forward_backward/mean,1,21.254262924194336,2,4.097609043121338,4.097609043121338,21.254262924194336,12.675935983657837,2
no_bi,timing/step/optim/mean,1,2.6985890865325928,2,0.03113708272576332,0.03113708272576332,2.6985890865325928,1.364863084629178,2
no_bi,timing/step/total/mean,1,45.71363830566406,2,15.366065979003906,15.366065979003906,45.71363830566406,30.539852142333984,2
no_bi,timing/step/wait_for_training_batch/mean,1,21.75948143005371,2,11.236299514770508,11.236299514770508,21.75948143005371,16.49789047241211,2
no_bi,timing/weight_sync/generator_pull_model_state_dict,1,0.0,2,10.20337963104248,0.0,10.20337963104248,5.10168981552124,2
no_bi,timing/weight_sync/trainer_push_model_state_dict,1,0.0,2,2.02834415435791,0.0,2.02834415435791,1.014172077178955,2
no_bi,train_batch/num_metric_only_groups,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,train_batch/num_microbatches,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,train_batch/num_rollout_groups,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,train_batch/num_training_samples,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,train_batch/padding_frac,1,0.91015625,2,0.89501953125,0.89501953125,0.91015625,0.902587890625,2
no_bi,train_batch/policy_age/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,train_batch/policy_age_max,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,trainer/entropy/mean,1,5.2107415199279785,2,4.631396770477295,4.631396770477295,5.2107415199279785,4.921069145202637,2
no_bi,trainer/grad_norm/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,trainer/lr,1,9.999999974752427e-07,2,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2
no_bi,trainer/policy_version,1,1.0,2,2.0,1.0,2.0,1.5,2
no_bi,training_sample_builder/num_training_samples/sum,1,1.0,2,1.0,1.0,1.0,1.0,2
